Language,Trial,Number of Digits
Python_NotWSL,22,4785
Python_NotWSL,23,4795
Python_NotWSL,24,4793
Python_NotWSL,25,4795
Python_NotWSL,26,4795
Python_NotWSL,27,4791
Python_NotWSL,28,4792
Python_NotWSL,29,4796
Python_NotWSL,30,4796
Python_NotWSL,31,4740
Python_NotWSL,32,4791
Python_NotWSL,33,4790
Python_NotWSL,34,4784
Python_NotWSL,35,4781
Python_NotWSL,36,4779
Python_NotWSL,37,4753
Python_NotWSL,38,4756
Python_NotWSL,39,4793
Python_NotWSL,40,4796
Python_NotWSL,41,4793
Python_NotWSL,42,4793
Python_NotWSL,43,4793
Python_NotWSL,44,4795
Python_NotWSL,45,4784
Python_NotWSL,46,4793
Python_NotWSL,47,4793
Python_NotWSL,48,4796
Python_NotWSL,49,4793
Python_NotWSL,50,4797
Python_NotWSL,51,4790
Python_NotWSL,52,4793
Python_NotWSL,53,4791
Python_NotWSL,54,4792
Python_NotWSL,55,4793
Python_NotWSL,56,4793
Python_NotWSL,57,4797
Python_NotWSL,58,4798
Python_NotWSL,59,4800
Python_NotWSL,60,4798
Python_NotWSL,61,4796
Python_NotWSL,62,4797
Python_NotWSL,63,4794
Python_NotWSL,64,4797
Python_NotWSL,65,4791
Python_NotWSL,66,4790
Python_NotWSL,67,4794
Python_NotWSL,68,4797
Python_NotWSL,69,4800
Python_NotWSL,70,4797
Python_NotWSL,71,4790
Python_NotWSL,72,4790
Python_NotWSL,73,4792
Python_NotWSL,74,4790
Python_NotWSL,75,4795
Python_NotWSL,76,4797
Python_NotWSL,77,4812
Python_NotWSL,78,4817
Python_NotWSL,79,4820
Python_NotWSL,80,4820
Python_NotWSL,81,4803
Python_NotWSL,82,4802
Python_NotWSL,83,4798
Python_NotWSL,84,4797
Python_NotWSL,85,4799
Python_NotWSL,86,4797
Python_NotWSL,87,4798
Python_NotWSL,88,4798
Python_NotWSL,89,4798
Python_NotWSL,90,4793
Python_NotWSL,91,4797
Python_NotWSL,92,4796
Python_NotWSL,93,4797
Python_NotWSL,94,4797
Python_NotWSL,95,4790
Python_NotWSL,96,4795
Python_NotWSL,97,4804
Python_NotWSL,98,4814
Python_NotWSL,99,4825
Python_NotWSL,100,4823
Python,1,5570
Python,2,5628
Python,3,5629
Python,4,5626
Python,5,5655
Python,6,5656
Python,7,5641
Python,8,5657
Python,9,5653
Python,10,5643
Python,11,5648
Python,12,5649
Python,13,5640
Python,14,5623
Python,15,5632
Python,16,5638
Python,17,5646
Python,18,5644
Python,19,5649
Python,20,5654
Python,21,5638
Python,22,5649
Python,23,5650
Python,24,5649
Python,25,5652
Python,26,5645
Python,27,5643
Python,28,5645
Python,29,5658
Python,30,5654
Python,31,5650
Python,32,5668
Python,33,5654
Python,34,5645
Python,35,5645
Python,36,5636
Python,37,5656
Python,38,5675
Python,39,5647
Python,40,5636
Python,41,5632
Python,42,5635
Python,43,5662
Python,44,5661
Python,45,5666
Python,46,5643
Python,47,5637
Python,48,5627
Python,49,5629
Python,50,5614
Python,51,5632
Python,52,5640
Python,53,5656
Python,54,5671
Python,55,5672
Python,56,5671
Python,57,5669
Python,58,5675
Python,59,5670
Python,60,5654
Python,61,5654
Python,62,5642
Python,63,5634
Python,64,5629
Python,65,5642
